时间,1#冷水机组LS-01冷冻供水温度,1#冷水机组LS-01冷冻回水温度,1#冷水机组LS-01冷却出水温度,1#冷水机组LS-01冷却回水温度,1#冷水机组LS-01蒸发压力,1#冷水机组LS-01冷凝压力,1#冷水机组LS-01蒸发器饱和温度,1#冷水机组LS-01凝气器饱和温度,1#冷水机组LS-01负荷比,1#冷水机组(电表)LS-01-DB相电压Ua,1#冷水机组(电表)LS-01-DB相电压Ub,1#冷水机组(电表)LS-01-DB相电压Uc,1#冷水机组(电表)LS-01-DB相电流Ia,1#冷水机组(电表)LS-01-DB相电流Ib,1#冷水机组(电表)LS-01-DB相电流Ic,1#冷水机组(电表)LS-01-DB有功功率,1#冷水机组(电表)LS-01-DB有功电度,cop
2021-07-10 00:00:00+00:00,21.8,23.1,29.3,29.4,531.6,530.2,23.3,23.3,0.0,228.1,228.4,228.0,11.0,10.0,11.0,0.0,99875.0,
2021-07-10 01:00:00+00:00,18.7,22.8,29.3,29.3,517.1,518.5,22.6,22.6,0.0,231.3,231.5,232.0,11.0,10.0,11.0,0.0,99875.0,
2021-07-10 02:00:00+00:00,18.3,22.4,29.3,29.2,508.1,509.5,22.1,22.2,0.0,226.4,226.6,227.0,11.0,10.0,11.0,0.0,99875.0,
2021-07-10 03:00:00+00:00,17.9,22.1,29.2,29.1,500.6,501.2,21.7,21.7,0.0,226.9,227.3,227.0,11.0,10.0,11.0,0.0,99875.0,
2021-07-10 04:00:00+00:00,17.3,21.8,29.2,28.9,491.6,492.3,21.2,21.3,0.0,227.8,228.3,228.0,11.0,10.0,11.0,0.0,99876.0,
2021-07-10 05:00:00+00:00,17.1,21.3,29.2,28.8,483.3,484.7,20.8,20.8,0.0,228.6,229.1,229.0,11.0,10.0,11.0,0.0,99876.0,
2021-07-10 06:00:00+00:00,17.0,21.1,29.1,28.8,477.1,478.5,20.4,20.5,0.0,227.4,227.4,228.0,11.0,10.0,11.0,0.0,99876.0,
2021-07-10 07:00:00+00:00,16.8,20.8,29.1,28.8,471.6,473.7,20.1,20.2,0.0,226.1,226.5,226.0,11.0,10.0,11.0,0.0,99876.0,
2021-07-10 08:00:00+00:00,16.7,20.4,29.1,28.8,467.5,468.8,19.9,19.9,0.0,224.1,224.6,224.0,11.0,10.0,11.0,0.0,99876.0,
2021-07-10 09:00:00+00:00,16.6,20.2,28.9,28.8,463.3,464.7,19.7,19.7,0.0,222.2,222.5,222.0,11.0,10.0,11.0,0.0,99876.0,
