时间,冷水机组冷冻供水温度,冷水机组冷冻回水温度,冷水机组冷却出水温度,冷水机组冷却回水温度,冷水机组蒸发压力,冷水机组冷凝压力,冷水机组蒸发器饱和温度,冷水机组凝气器饱和温度,冷水机组负荷比,冷水机组(电表)相电压Ua,冷水机组(电表)相电压Ub,冷水机组(电表)相电压Uc,冷水机组(电表)相电流Ia,冷水机组(电表)相电流Ib,冷水机组(电表)相电流Ic,冷水机组(电表)有功功率,冷水机组(电表)有功电度,cop
2021-07-10 00:00:00+00:00,14.7,22.9,33.3,29.9,388.9,737.0,14.8,33.0,1491.6,226.8,227.1,227.2,253.0,253.4,252.2,162.9,54574.0,9.156537753222837
2021-07-10 01:00:00+00:00,14.9,21.7,32.6,28.7,387.5,732.9,15.0,32.8,1247.4,225.5,225.9,226.3,193.4,195.8,193.4,130.1,54720.0,9.588009223674096
2021-07-10 02:00:00+00:00,14.9,20.9,32.1,28.9,384.7,723.3,14.9,32.4,1155.0,226.5,226.8,227.1,178.6,179.0,175.4,122.7,54850.0,9.41320293398533
2021-07-10 03:00:00+00:00,14.1,20.9,32.7,29.3,366.8,739.8,13.8,33.1,1310.1,227.1,227.5,227.8,202.7,205.8,201.1,140.2,54978.0,9.34450784593438
2021-07-10 04:00:00+00:00,13.9,20.4,33.2,29.7,359.9,750.1,13.2,33.5,1376.1,227.4,227.8,227.8,233.0,232.5,227.8,148.0,55114.0,9.297972972972973
2021-07-10 05:00:00+00:00,14.1,19.9,31.8,28.7,365.4,716.4,13.7,32.2,1211.1,228.1,228.7,228.8,189.9,190.1,189.0,127.4,55243.0,9.506279434850864
2021-07-10 06:00:00+00:00,14.4,19.6,32.4,29.5,360.6,739.8,13.3,33.1,1485.0,227.8,228.2,228.3,227.7,225.9,224.3,167.7,55377.0,8.855098389982114
2021-07-10 07:00:00+00:00,13.7,19.4,32.0,29.2,370.9,715.7,13.9,32.1,1065.9,226.9,227.5,227.6,184.8,187.2,181.9,114.7,55522.0,9.29293809938971
2021-07-10 08:00:00+00:00,14.3,19.4,32.2,29.6,376.5,729.5,14.3,32.7,1280.4,224.5,224.9,224.9,234.9,240.6,233.4,147.0,55673.0,8.710204081632652
2021-07-10 12:00:00+00:00,14.2,22.7,32.6,29.7,372.3,740.5,14.0,33.1,1673.1,224.2,225.1,225.0,264.0,266.0,263.0,171.0,99971.0,9.784210526315787
2021-07-10 13:00:00+00:00,14.0,21.5,34.2,29.7,375.1,783.2,14.2,34.9,1722.6,222.6,223.7,223.0,279.0,283.0,278.0,189.0,100181.0,9.114285714285714
2021-07-10 14:00:00+00:00,14.0,20.4,32.8,29.1,364.0,747.4,13.6,33.4,1435.5,223.5,224.1,224.0,239.0,241.0,235.0,156.0,100348.0,9.201923076923077
2021-07-10 15:00:00+00:00,14.3,19.8,32.1,29.1,374.4,735.7,14.2,32.9,1518.0,224.7,225.3,226.0,266.0,268.0,264.0,167.0,100500.0,9.089820359281438
2021-07-10 18:00:00+00:00,13.7,21.7,35.9,31.6,369.6,792.2,13.9,35.3,2042.7,228.0,230.0,230.0,365.0,367.0,362.0,235.2,70638.7,8.684948979591837
2021-07-10 19:00:00+00:00,14.1,20.8,34.2,29.7,373.7,773.6,14.1,34.5,1745.7,229.0,230.0,230.0,272.0,275.0,273.0,187.5,70828.9,9.3104
2021-07-10 22:00:00+00:00,14.0,21.7,34.3,28.8,367.5,792.2,13.8,35.2,2075.7,228.0,229.0,229.0,323.0,329.0,320.0,224.2,71115.3,9.258251561106157
2021-07-10 23:00:00+00:00,13.8,20.6,33.3,28.9,367.5,743.3,13.7,33.3,1577.4,227.0,228.0,228.0,244.0,246.0,242.0,173.3,71295.1,9.102135025966533
2021-07-11 00:00:00+00:00,14.0,19.9,32.7,29.4,375.8,735.7,14.3,33.0,1386.0,228.0,228.0,229.0,209.0,211.0,210.0,140.8,71457.3,9.84375
2021-07-11 01:00:00+00:00,14.0,19.7,32.2,28.6,367.5,726.0,13.7,32.4,1465.2,229.0,230.0,230.0,224.0,227.0,224.0,152.8,71608.5,9.589005235602095
2021-07-11 02:00:00+00:00,13.7,19.6,33.2,29.7,357.8,703.3,13.2,31.5,1455.3,230.0,230.0,231.0,237.0,237.0,235.0,187.7,71760.3,7.75332978156633
2021-07-11 03:00:00+00:00,14.0,19.5,32.8,29.8,368.9,748.1,13.9,33.4,1435.5,230.0,231.0,231.0,222.0,225.0,221.0,153.6,71907.9,9.345703125
2021-07-11 04:00:00+00:00,14.1,19.5,31.7,28.7,370.2,712.9,13.9,31.9,1254.0,227.0,228.0,228.0,190.0,190.0,188.0,130.1,72054.2,9.638739431206764
2021-07-11 05:00:00+00:00,13.8,19.3,32.3,29.0,369.6,716.4,13.9,32.2,1263.9,228.0,229.0,230.0,197.0,196.0,194.0,146.2,72202.0,8.64500683994528
2021-07-11 06:00:00+00:00,13.9,19.3,33.1,29.8,367.5,730.8,13.7,32.7,1435.5,229.0,230.0,230.0,233.0,234.0,230.0,156.5,72349.9,9.172523961661344
2021-07-11 07:00:00+00:00,14.0,19.3,31.7,28.5,375.8,710.2,14.3,31.8,1296.9,230.0,230.0,230.0,188.0,192.0,189.0,130.2,72490.8,9.960829493087557
2021-07-11 08:00:00+00:00,13.9,19.2,32.4,29.3,368.2,721.2,13.8,32.3,1277.1,227.0,228.0,228.0,202.0,203.0,200.0,143.0,72635.8,8.930769230769231
2021-07-11 11:00:00+00:00,14.8,21.4,32.8,28.9,384.7,742.6,14.8,33.3,1336.5,222.0,222.2,222.0,220.0,219.0,217.0,155.0,100697.0,8.62258064516129
2021-07-11 12:00:00+00:00,15.2,20.6,32.1,28.8,383.3,740.5,14.7,33.2,1362.9,221.9,223.7,223.0,214.0,223.0,214.0,129.0,100838.0,10.565116279069766
2021-07-11 13:00:00+00:00,14.8,20.2,31.9,29.0,384.7,728.1,14.7,32.6,1257.3,221.7,223.0,222.0,215.0,216.0,212.0,146.0,100983.0,8.611643835616437
2021-07-11 16:00:00+00:00,14.8,22.2,33.4,28.9,388.9,755.7,15.1,33.8,1524.6,223.1,223.3,223.0,250.0,248.0,246.0,161.0,101206.0,9.469565217391304
2021-07-11 17:00:00+00:00,14.9,21.2,32.7,29.1,382.7,739.8,14.7,33.2,1287.0,222.0,222.0,222.0,209.0,208.0,208.0,134.0,101366.0,9.6044776119403
2021-07-11 18:00:00+00:00,14.7,20.4,32.3,29.1,386.1,730.8,14.8,32.8,1389.3,222.9,224.1,224.0,194.0,198.0,193.0,181.0,101507.0,7.675690607734807
2021-07-11 19:00:00+00:00,15.5,20.3,31.8,28.9,392.3,739.8,15.3,33.1,1356.3,224.0,224.2,224.0,203.0,200.0,201.0,143.0,101649.0,9.484615384615383
2021-07-11 20:00:00+00:00,15.1,20.2,32.3,29.6,389.6,748.1,15.2,33.5,1313.4,222.9,224.8,224.0,213.0,222.0,213.0,139.0,101797.0,9.448920863309354
2021-07-11 21:00:00+00:00,15.1,20.1,32.9,29.6,384.0,736.4,14.8,33.1,1320.0,224.7,223.6,224.0,229.0,226.0,224.0,150.0,101945.0,8.8
2021-07-11 22:00:00+00:00,15.0,19.9,33.3,30.4,380.6,757.7,14.6,33.9,1379.4,223.2,223.9,224.0,237.0,240.0,235.0,159.0,102087.0,8.675471698113206
2021-07-11 23:00:00+00:00,14.0,20.9,32.8,28.6,336.5,741.2,11.8,33.1,1455.3,229.0,230.0,230.0,290.0,295.0,293.0,308.0,39161.0,4.725
2021-07-12 00:00:00+00:00,14.9,20.9,32.9,28.9,384.0,743.3,14.8,33.3,1524.6,231.0,231.0,231.0,230.0,234.0,232.0,159.0,39322.0,9.588679245283018
2021-07-12 01:00:00+00:00,15.0,20.3,32.6,28.8,385.4,735.7,14.8,32.9,1399.2,228.0,229.0,229.0,207.0,210.0,208.0,141.0,39467.0,9.923404255319149
2021-07-12 02:00:00+00:00,14.9,20.3,31.8,29.0,385.4,717.7,14.9,32.1,1323.3,229.0,230.0,230.0,190.0,194.0,190.0,129.0,39609.0,10.258139534883721
2021-07-12 03:00:00+00:00,14.8,20.1,31.7,28.9,384.0,710.8,14.8,31.9,1267.2,230.0,231.0,231.0,193.0,192.0,193.0,130.0,39745.0,9.747692307692308
2021-07-12 04:00:00+00:00,15.1,20.1,31.6,28.9,385.4,714.3,14.9,31.9,1290.3,230.0,230.0,230.0,188.0,188.0,185.0,127.0,39878.0,10.15984251968504
